player,avg_points,line_quality,team_quality,team,match_cnt,raw_score,power_rank,power_rank_pct,opponent_strength
steve_batter,0.8372093023255813,0.7672955974842768,0.8181818181818182,Wilton Riding,9,0.7702732820345741,240.0,94.0,0.5095574190322892
david_van,0.7958656330749354,0.8176100628930818,0.8181818181818182,Wilton Riding,9,0.7653390504531129,239.0,94.0,0.5336075956960787
randy_howie,0.7732558139534884,0.6721698113207546,0.9999999999999999,Lake Club 2,8,0.7607420801697434,238.0,93.0,0.5222866775101513
john_massey,0.7906976744186046,0.7924528301886793,0.7272727272727273,Tokeneke 2,5,0.7513711643166449,237.0,93.0,0.6107473289066093
david_gould,0.7813953488372093,0.8122641509433963,0.8181818181818182,Wilton Riding,10,0.750937653490058,236.0,93.0,0.4881370179218057
hayden_frey,0.9302325581395349,0.5660377358490567,0.4545454545454545,Rowayton 2,1,0.7414097749932409,235.0,92.0,0.7912565716769864
simon_teakle,0.8062015503875969,0.6367924528301887,0.9090909090909091,Roxbury 2,6,0.7403618017495918,234.0,92.0,0.45596287793969076
christian_brown,0.9612403100775193,0.8490566037735849,0.2727272727272727,CC of Darien 2,3,0.738397055377159,233.0,91.0,0.543214270280692
steve_wright,0.9767441860465116,0.8490566037735849,0.2727272727272727,CC of Darien 2,2,0.7372595097352735,232.0,91.0,0.489119004761145
jamie_rhind,0.830318690783807,0.4507337526205451,0.9999999999999999,Lake Club 2,9,0.7365376042117143,231.0,91.0,0.484982952232614
marc_robustelli,0.6356589147286822,0.959119496855346,0.8181818181818182,Wilton Riding,9,0.7361121491522025,230.0,90.0,0.6307024967790837
ken_lavine,0.9302325581395349,0.8490566037735849,0.2727272727272727,CC of Darien 2,1,0.7317329171486697,229.0,90.0,0.5918099379047164
gillie_mccreath,0.7627906976744186,0.5660377358490567,0.9090909090909091,Roxbury 2,5,0.727967653512417,228.0,89.0,0.5979074038062355
jon_achenbaum,0.8465116279069768,0.33962264150943405,0.9999999999999999,Lake Club 2,5,0.727108492435877,227.0,89.0,0.5216915438390044
richard_rosenthal,0.6356589147286822,0.9276729559748427,0.8181818181818182,Wilton Riding,6,0.7256994693653454,226.0,89.0,0.6032133527073741
david_fowler,0.613953488372093,0.9056603773584906,0.8181818181818182,Wilton Riding,5,0.7195593869254192,225.0,88.0,0.6567458536661037
alain_villemure,0.7836504580690626,0.5531732418524871,0.9090909090909091,Roxbury 2,11,0.7189827121359513,224.0,88.0,0.4925811721079593
ryan_faherty,0.7472868217054264,0.7075471698113207,0.8181818181818182,Wilton Riding,5,0.7178786577419339,223.0,87.0,0.5096919358390947
matt_d'acunto,0.9534883720930232,0.8490566037735849,0.2727272727272727,CC of Darien 2,2,0.7177252212465024,222.0,87.0,0.4286578566964701
rob_zabronsky,0.6589147286821705,0.7311320754716981,0.9090909090909091,Roxbury 2,6,0.7159172696255162,221.0,87.0,0.6090736320401196
mark_lester,0.939922480620155,0.14150943396226418,0.9999999999999999,Lake Club 2,8,0.714053181145386,220.0,86.0,0.4185745204924224
jim_glynn,0.9767441860465116,0.14150943396226418,0.9090909090909091,Roxbury 2,2,0.71137357421295,219.0,86.0,0.41145747920923437
bill_brady,0.7534883720930232,0.7358490566037736,0.7272727272727273,Tokeneke 2,5,0.7060214462844454,218.0,85.0,0.4955154804485652
scott_muller,0.7348837209302326,0.5731132075471699,0.9090909090909091,Roxbury 2,10,0.7016384336176598,217.0,85.0,0.4966662391429285
tim_widmer,0.8837209302325582,0.8018867924528301,0.4545454545454545,Rowayton 2,3,0.7015610432567226,216.0,85.0,0.35066783501609633
jack_birch,0.813953488372093,0.8490566037735849,0.4545454545454545,Rowayton 2,2,0.6993935363397024,215.0,84.0,0.48262703272301777
steve_finn,0.8294573643410852,0.2358490566037736,0.9999999999999999,Lake Club 2,6,0.6992843756440557,214.0,84.0,0.5257250024654178
kurt_schneider,0.7534883720930232,0.5849056603773586,0.8181818181818182,Wilton Riding,5,0.6982663389916846,213.0,84.0,0.5238605055865916
ian_smith,0.6046511627906976,0.8894878706199463,0.7272727272727273,Tokeneke 2,7,0.6974579609116707,212.0,83.0,0.6800854538488134
kevin_fahey,0.6149870801033591,0.6603773584905659,0.9090909090909091,Roxbury 2,6,0.683558893883932,211.0,83.0,0.6194736954741685
richard_fortin,0.6563307493540051,0.8962264150943398,0.6363636363636364,New Canaan FC 2,6,0.6820213374034095,210.0,82.0,0.5343632660167462
gonzalo_escajadillo,0.6382428940568475,0.7783018867924529,0.7272727272727273,Tokeneke 2,6,0.6765532648738688,209.0,82.0,0.588193598235009
paul_kukuruza,0.9767441860465116,0.0,0.9090909090909091,Roxbury 2,1,0.6763238046325475,207.5,81.0,0.3664715939562363
filip_wouters,0.9767441860465116,0.0,0.9090909090909091,Roxbury 2,1,0.6763238046325475,207.5,81.0,0.3664715939562363
chris_barton,0.7906976744186046,0.8490566037735849,0.1818181818181818,Middlesex 2,1,0.6739061939048228,205.5,81.0,0.7461152219873151
fritz_schweitzer,0.7906976744186046,0.8490566037735849,0.1818181818181818,Middlesex 2,1,0.6739061939048228,205.5,81.0,0.7461152219873151
brian_thackray,0.7596899224806202,0.6456367924528301,0.6363636363636364,New Canaan FC 2,8,0.6713350595004118,204.0,80.0,0.4871633908055961
rick_disesa,0.7751937984496124,0.2830188679245283,0.9090909090909091,Roxbury 2,1,0.6689396917286068,203.0,80.0,0.5445368468212917
kevin_clark,0.7286821705426356,0.7075471698113207,0.6363636363636364,New Canaan FC 2,2,0.6676030925479012,202.0,79.0,0.47275969712482435
will_harned,0.9302325581395349,0.8490566037735849,0.0,Woodway 2,1,0.6646900284381774,201.0,79.0,0.5084937101377975
aiden_bresnahan,0.7364341085271318,0.8490566037735849,0.36363636363636365,Roton Point 2,2,0.6614036924754345,200.0,78.0,0.5831316677082363
brian_smith,0.9302325581395349,0.5660377358490567,0.2727272727272727,CC of Darien 2,1,0.6475383109285041,199.0,78.0,0.4078710536696496
steve_denardo,0.7951273532668881,0.24258760107816718,0.9090909090909091,Roxbury 2,7,0.6465632029069157,198.0,78.0,0.38946794602000523
